gi_no,title,company_name,company_id,career,education,employment_type,deadline_raw,job_function,job_categories
284351,[NX 스튜디오] [Project TAL] 메인 시나리오 기획자 (경력),㈜매드엔진,33649396,경력5년↑ ,학력무관,정규직,~09/28,게임개발(모바일),게임개발(모바일);게임기획
282107,[기어세컨드] 개발 PM,㈜기어세컨드,35234551,경력1년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);게임기획;사업기획(국내);사업기획(해외);전략기획
282106,[기어세컨드] 퍼포먼스 마케터,㈜기어세컨드,35234551,경력2년↑ ,학력무관,정규직,채용시,마케팅,마케팅;홍보;해외 마케팅;프로모션;광고기획
282481,[기어세컨드] 사운드 디자이너,㈜기어세컨드,35234551,경력무관,학력무관,계약직,채용시,사운드 제작,사운드 제작
282105,[신규 프로젝트] 게임 클라이언트 개발자,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);게임기획;엔진
282657,[레츠고 레전드!] 기획자,㈜기어세컨드,35234551,경력3년↑ ,학력무관,정규직,채용시,게임기획,게임기획
282723,[기어세컨드] 사업 PM,㈜기어세컨드,35234551,경력3년↑ ,학력무관,정규직,채용시,사업기획(국내),사업기획(국내);사업기획(해외);전략기획;사업관리;정보·빅데이터 분석
282984,[기어세컨드] 데이터 사이언티스트,㈜기어세컨드,35234551,경력3년↑ ,학력무관,정규직,채용시,정보·빅데이터 분석,정보·빅데이터 분석
281900,[기어세컨드] 채용 담당자,㈜기어세컨드,35234551,경력3년↑ ,학력무관,계약직,채용시,인사,인사
283141,[기어세컨드] 서버 프로그래머 전환형 인턴,㈜기어세컨드,35234551,경력무관,학력무관,인턴직,채용시,플랫폼 개발,플랫폼 개발;플랫폼 디자인;서버;시스템·DB;클라우드
283196,[기어세컨드] 피플팀 체험형 인턴,㈜기어세컨드,35234551,신입,학력무관,인턴직,채용시,사무·회계,사무·회계;재무;경리;인사;총무
281633,[기어세컨드] UA 크리에이티브 디자이너,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,마케팅,마케팅;홍보;해외 마케팅;프로모션;광고기획
283195,[기어세컨드] 2D 스파인 애니메이터,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,애니메이션,애니메이션
283194,[신규 프로젝트] 게임 기획자,㈜기어세컨드,35234551,경력3년↑ ,학력무관,정규직,채용시,게임기획,게임기획
284468,[CROSSFIRE] 무기 개발 클라이언트 담당,스마일게이트,23947670,경력5년↑ ,학력무관,정규직,~09/30,게임개발(클라이언트),게임개발(클라이언트);게임기획
283193,[기어세컨드] 게임 커뮤니티 매니저(CM),㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,게임기획,게임기획;게임운영
281560,[기어세컨드] 2D 게임 그래픽 아티스트,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;이펙트·FX
283192,[기어세컨드] HR 리드,㈜기어세컨드,35234551,경력5년↑ ,학력무관,정규직,채용시,사무·회계,사무·회계;재무;경리;인사;총무
281527,[Project TTT] 서브컬쳐 캐주얼 게임 기획자,㈜기어세컨드,35234551,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획
283191,[기어세컨드] HR 담당자,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,사무·회계,사무·회계;재무;경리;인사;총무
283190,[기어세컨드] 게임 UI/UX 디자이너,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;이펙트·FX
283189,[기어세컨드] 이펙트 디자이너,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;이펙트·FX
281101,[슬레이어 키우기] 픽셀 아트 아티스트,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;이펙트·FX
283215,[프린세스 메이커] 게임 클라이언트 개발자,㈜기어세컨드,35234551,경력1년↑ ,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임기획;엔진
280947,[기어세컨드] 서버 프로그래머,㈜기어세컨드,35234551,경력1년↑ ,학력무관,정규직,채용시,플랫폼 개발,플랫폼 개발;플랫폼 디자인;서버;시스템·DB;클라우드
283338,[기어세컨드] 크리에이티브 매니저 전환형 인턴,㈜기어세컨드,35234551,신입,학력무관,인턴직,채용시,영상제작·편집,영상제작·편집;마케팅;홍보;해외 마케팅;광고기획
283537,[슬레이어 키우기] 기획자,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,게임기획,게임기획
283572,[신규 프로젝트] 3D 게임 아티스트,㈜기어세컨드,35234551,경력2년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
283747,[기어세컨드] 데이터 엔지니어 DE,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,정보·빅데이터 분석,정보·빅데이터 분석
284118,[슬레이어 키우기] 게임 클라이언트 개발자,㈜기어세컨드,35234551,경력무관,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);게임기획;엔진
284259,[기어세컨드] 크리에이티브 마케터,㈜기어세컨드,35234551,경력1년↑ ,학력무관,정규직,채용시,영상제작·편집,영상제작·편집;마케팅;해외 마케팅;프로모션;광고기획
282100,[스피릿위시 Plus] 전 부문 모집,NX3GAMES,21560497,경력3년↑ ,학력무관,정규직,06/30(화),게임개발(모바일),게임개발(모바일);서버;엔진
282099,[스피릿위시 Plus] 서버 프로그래머,NX3GAMES,21560497,경력3년↑ ,학력무관,정규직,06/30(화),게임개발(모바일),게임개발(모바일);서버;네트워크;시스템·DB
283023,[TARAE] 핵앤슬래시(PC/콘솔) 몬스터 기획자 모집,㈜바운더리,42250798,경력무관,학력무관,정규직,채용시,게임기획,게임기획
283546,[TARAE] 핵앤슬래시(PC/콘솔) 개발 QA 담당자 모집,㈜바운더리,42250798,경력무관,학력무관,계약직,채용시,QA·테스터,QA·테스터
284340,[TARAE] 핵앤슬래시(PC/콘솔) UI/UX 디자이너 모집,㈜바운더리,42250798,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인
284456,[넷마블넥서스] ’세븐나이츠리버스’ 경제 밸런스 기획자 채용,넷마블넥서스,33563803,경력2년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);게임기획
284336,[슈터본부] 슈터플랫폼실 데이터 엔지니어,넥슨,11527672,경력무관,학력무관,정규직,4일 전,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일)
281914,[크레센트] 시니어 3D 애니메이터 모집 (경력 5년 이상),에이블게임즈,35028996,경력 5년 ,학력무관,정규직,채용시,애니메이션,애니메이션
281927,[크레센트] 콘티/스토리보드 아티스트 (경력 3년 이상),에이블게임즈,35028996,경력 3년 ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일)
282032,[크레센트] UI 디자이너 모집 (경력 5년이상),에이블게임즈,35028996,경력 5년,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인
282431,3D 배경 레벨러 모집(경력 7년 이상),에이블게임즈,35028996,경력 7년 ,학력무관,정규직,채용시,모델링,모델링
282469,3D 배경 모델러 모집(경력 7년 이상),에이블게임즈,35028996,경력 7년 ,학력무관,정규직,채용시,모델링,모델링
282601,[메이플키우기] 게임 QA 모집,에이블게임즈,35028996,경력무관,학력무관,정규직,채용시,QA·테스터,QA·테스터
282893,2D 스파인 애니메이터 모집,에이블게임즈,35028996,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;애니메이션
282896,[달토끼키우기] 전투 기획자 모집,에이블게임즈,35028996,경력무관,학력무관,정규직,채용시,게임기획,게임기획
283165,아트 PM 모집 (경력 무관),에이블게임즈,35028996,경력 무관,학력무관,정규직,채용시,게임기획,게임기획
283164,[크레센트] 개발PM 모집 (경력 3년 이상),에이블게임즈,35028996,경력 3년 ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일)
283759,[메이플키우기] UI 디자이너 모집(경력 1년 이상),에이블게임즈,35028996,경력 1년 ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인
284107,[메이플키우기] 기획자 모집,에이블게임즈,35028996,경력무관,학력무관,정규직,채용시,게임기획,게임기획
284106,[메이플키우기] 클라이언트 프로그래머 모집 (산업기능요원 현역/보충역 가능),에이블게임즈,35028996,경력무관,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트)
278624,[신규프로젝트 S] 카툰스타일 이펙트 아티스트 채용,팀42㈜,19209414,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX
284454,[마피아42] 컨텐츠 시스템 기획자 채용,팀42㈜,19209414,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획
281806,[프로젝트 A] 스토리 제작,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,게임기획,게임기획
281809,"[프로젝트 A] 캐릭터 원화, 일러스트 제작",㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,원화,원화
282916,[스타세이비어] 이펙터 모집,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX
283150,"[프로젝트A] 기계, 메카, 밀리터리 전문 원화 아트 디자인",㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,원화,원화
283302,[프로젝트 I] 모바일 게임 이펙터,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX
283704,[스타세이비어] 3D 캐릭터 애니메이터 모집,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,애니메이션,애니메이션
283791,[스타세이비어] 2D 캐릭터 원화가 모집,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,원화,원화
283977,[스타세이비어] UI 디자이너 모집,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인
284007,"[스타세이비어] 스토리, 시나리오 제작 / 컨셉 설정",㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,게임기획,게임기획
284009,[스타세이비어] 전투 / 캐릭터 / 몬스터 기획 담당자 모집,㈜스튜디오비사이드,22209089,신입,학력무관,정규직,채용시,게임기획,게임기획
284393,[프로젝트A] UI 디자이너 모집,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인
284397,[프로젝트A] 이펙터 모집,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX
284400,[프로젝트A] 시스템 기획자 모집,㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,게임기획,게임기획
284452,[컴투스] 테크니컬 아티스트 (신입/경력),주식회사 컴투스,11526566,신입,학력무관,정규직,3시간 전,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);모델링;이펙트·FX;플랫폼 개발
282420,[크로노스튜디오] 아트 PM 모집,㈜크로노스튜디오,43834799,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획;게임운영
284450,[컴투스] Web QA 담당자 (계약직),주식회사 컴투스,11526566,경력무관,학력무관,계약직,3시간 전,게임기획,게임기획;QA·테스터
284352,[스타픽시스튜디오] UI 컨텐츠 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크
284353,[스타픽시스튜디오] 게임 서비스 운영 직군,스타픽시스튜디오,51773905,경력무관,학력무관,정규직,채용시,게임운영,게임운영
284356,[스타픽시스튜디오] Full-stack 엔지니어,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,플랫폼 개발,플랫폼 개발;서버;네트워크
284357,[스타픽시스튜디오] 게임 기획자,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획
284358,[스타픽시스튜디오] 게임 플레이 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크
284359,[스타픽시스튜디오] 게임 사업PM,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,사업기획(국내),사업기획(국내);사업기획(해외);전략기획;사업관리
284362,[스타픽시스튜디오] 게임 아티스트,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션;이펙트·FX
284363,[스타픽시스튜디오] 게임 기획 Lead,스타픽시스튜디오,51773905,경력5년↑ ,학력무관,정규직,채용시,게임기획,게임기획
284364,[스타픽시스튜디오] 커뮤니티 매니저 (콘텐츠·영상),스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,마케팅,마케팅;홍보;해외 마케팅;프로모션;광고기획
284365,[스타픽시스튜디오] 경영지원 (총무),스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,총무,총무;구매
284448,[컴투스] [일본 IP 프로젝트] 게임 사운드 디자이너 (계약직/2년 이상),주식회사 컴투스,11526566,경력2년↑ ,학력무관,계약직,3시간 전,사운드 제작,사운드 제작
284447,[컴투스] 일본 IP콜라보 및 IP 게임 감수 담당자 (계약직/2년 이상),주식회사 컴투스,11526566,경력2년↑ ,학력무관,계약직,3시간 전,사업기획(해외),사업기획(해외);전략기획;사업관리
284445,[컴투스] 정보보호 담당자 (4년 이상),주식회사 컴투스,11526566,경력4년↑ ,학력무관,정규직,4시간 전,보안,보안
284437,[Flyway Games] Ascend to ZERO - Client Programmer (계약직/1년),(주)크래프톤,22302337,경력3년↑ ,학력무관,계약직,채용시,게임개발(클라이언트),게임개발(클라이언트)
284423,[NC][AION2] 밸런스 디자이너 모집,NC,11525247,경력2년↑ ,,정규직,~10/30,게임기획,게임기획;사업기획(국내);정보·빅데이터 분석
282936,[해긴] 모바일 게임 마케터 채용,㈜해긴,22367647,경력3년↑ ,학력무관,정규직,채용시,마케팅,마케팅
283472,[해긴] 데이터 기획 및 분석 담당자 모집,㈜해긴,22367647,경력5년↑ ,학력무관,정규직,08/04(화),정보·빅데이터 분석,정보·빅데이터 분석
284083,[해긴] 재무회계 담당자 모집,㈜해긴,22367647,경력무관,학력무관,정규직,08/21(금),재무,재무;회계;세무
284288,[몬스터 수집형] 클라이언트 개발자 모집,㈜해긴,22367647,경력무관,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트)
284314,[해긴] 플레이투게더 QA 모집,㈜해긴,22367647,경력무관,학력무관,계약직,채용시,QA·테스터,QA·테스터
284435,[컨트롤나인] 재무회계 담당자,㈜컨트롤나인,41909341,경력2년↑ ,,정규직,~09/30,재무,재무;회계
284434,[미래시] 캐릭터 원화가,㈜컨트롤나인,41909341,경력3년↑ ,학력무관,정규직,~09/30,원화,원화
284433,[미래시] 3D 애니메이터,㈜컨트롤나인,41909341,경력3년↑ ,학력무관,정규직,~09/30,애니메이션,애니메이션
284432,[미래시] 시스템 기획자,㈜컨트롤나인,41909341,경력3년↑ ,학력무관,정규직,~09/30,게임기획,게임기획
284431,[미래시] 3D 애니메이터 (리드),㈜컨트롤나인,41909341,경력7년↑ ,학력무관,정규직,~09/30,애니메이션,애니메이션
284430,[컨트롤나인] 총무·IT인프라 담당자,㈜컨트롤나인,41909341,경력7년↑ ,,정규직,~09/30,총무,총무
283316,[LOST ARK Mobile] 레벨기획 담당,스마일게이트,18140850,경력3년↑ ,학력무관,정규직,채용시,게임기획,게임기획
284421,[NC][AION2] 캐릭터 컨셉 아티스트 모집,NC,11525247,경력5년↑ ,학력무관,정규직,~10/30,원화,원화;모델링;BX·브랜드 디자인
284419,[NC][리니지W] 애니메이션 아티스트 모집,NC,11525247,경력8년↑ ,학력무관,정규직,~10/30,모델링,모델링;애니메이션;영상제작·편집
283938,[신입] 모바일 RTS 서버 프로그래머,㈜이스트게임즈,18270465,신입,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);서버;네트워크
283937,[경력] 모바일 RTS 서버 프로그래머,㈜이스트게임즈,18270465,경력3년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);서버;네트워크
283936,[신입] MMORPG 온라인/모바일 게임 클라이언트 프로그래머,㈜이스트게임즈,18270465,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일)
283935,[경력] MMORPG 온라인/모바일 게임 클라이언트 프로그래머,㈜이스트게임즈,18270465,경력3년↑ ,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일)
283934,[신입] DevOps 엔지니어,㈜이스트게임즈,18270465,신입,학력무관,정규직,채용시,서버,서버;네트워크;엔진;시스템·DB;클라우드
283933,[신입] 정보 보안 엔지니어,㈜이스트게임즈,18270465,신입,학력무관,정규직,채용시,서버,서버;네트워크;엔진;보안;클라우드
283932,[신입] 산업기능요원 보충역 (클라이언트/서버),㈜이스트게임즈,18270465,신입,학력무관,병역특례,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);서버;네트워크;시스템·DB
283931,[경력] 산업기능요원 전직자 채용 (현역/보충역),㈜이스트게임즈,18270465,경력1년↑ ,학력무관,병역특례,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);서버;네트워크;시스템·DB
283666,[신입] MMORPG 콘텐츠 및 시스템 기획자,㈜이스트게임즈,18270465,신입,학력무관,정규직,채용시,게임기획,게임기획
283665,[경력] MMORPG 콘텐츠 및 시스템 기획자,㈜이스트게임즈,18270465,경력1년↑ ,학력무관,정규직,채용시,게임기획,게임기획
282016,[신입] 카발RED 클라이언트 프로그래머,㈜이스트게임즈,18270465,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일)
282015,[경력] 카발RED 클라이언트 프로그래머,㈜이스트게임즈,18270465,경력3년↑ ,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일)
281844,[신입] 해외서비스 PM(영어/중국어),㈜이스트게임즈,18270465,신입,학력무관,정규직,채용시,사업기획(국내),사업기획(국내);전략기획;사업관리
284168,[MapleOrigin/러쉬에잇] 클래식 메이플스토리 직군별 채용 (신입/경력),러쉬에잇㈜,45873305,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;게임기획
284317,[MapleOrigin] 클래식 메이플스토리 모바일 UI/UX 디자이너 (경력5년 이하),러쉬에잇㈜,45873305,경력5년 ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인
284322,[에버플래닛] 서버 프로그래머 (C#/.NET) (경력 7년+),러쉬에잇㈜,45873305,경력 7년,학력무관,정규직,채용시,서버,서버
284380,[에버플래닛] Unity 클라이언트 개발자 (신입),러쉬에잇㈜,45873305,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일)
284417,[아르테일] 클래식 메이플스토리 CS 담당자 (경력 1년+),러쉬에잇㈜,45873305,경력 1년,학력무관,계약직,채용시,게임운영,게임운영
284310,[해긴] 사업개발(BD) 담당자 모집,㈜해긴,22367647,경력5년↑ ,학력무관,정규직,채용시,사업관리,사업관리
281847,[아스트라에 오라티오] JP 로컬라이즈 PM 모집,디나미스원㈜,44438003,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);사업관리;소싱/라이선싱;번역
284411,[111퍼센트] UA 크리에이티브,111퍼센트㈜,20978266,경력3년↑ ,학력무관,정규직,채용시,영상제작·편집,영상제작·편집;마케팅;홍보;해외 마케팅
284412,[111퍼센트] 게임 운영 담당자,111퍼센트㈜,20978266,경력3년↑ ,학력무관,정규직,채용시,게임운영,게임운영
283955,[위메이드커넥트] 게임 기획자 모집(리더급),㈜위메이드커넥트,11530731,경력7년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);게임기획
284408,[컴투스] [보훈대상자 전형] 야구게임 개발본부 사무지원 담당자 (1년 계약직),주식회사 컴투스,11526566,경력무관,학력무관,계약직,23시간 전,게임개발(클라이언트),게임개발(클라이언트);사무·회계
284407,[컴투스] UI/UX 디자이너 (3년 이상),주식회사 컴투스,11526566,경력3년↑ ,학력무관,정규직,23시간 전,게임개발(모바일),게임개발(모바일);인터페이스 디자인;게임기획
284406,퍼블리싱 매출 정산 담당자(육아휴직 대체/계약직),㈜위메이드,11525585,경력1년↑ ,학력무관,계약직,~09/11,재무,재무;회계;경리
284402,[Onetake Studio] 오리지널IP 신작 콘솔 프로젝트 3D 캐릭터 모델러,㈜네오위즈,11526996,경력무관,학력무관,정규직,1일 전,모델링,모델링
281996,[트릭컬 리바이브] 전투 및 밸런스 기획자 추가 모집,㈜에피드게임즈,13320563,경력1년↑ ,학력무관,정규직,채용시,게임기획,게임기획
281994,[트릭컬 파티마] 캐릭터 원화가 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,원화,원화
281993,[트릭컬 파티마] 콘텐츠 클라이언트 프로그래머 추가 모집,㈜에피드게임즈,13320563,경력5년↑ ,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트)
282003,[트릭컬 파티마] 배경원화가 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,원화,원화
282001,[트릭컬 파티마] 설정 기획자 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,게임기획,게임기획
282000,[트릭컬 파티마] 시스템 및 콘텐츠 기획자 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,게임기획,게임기획
281999,[트릭컬 파티마] 애니메이터 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,애니메이션,애니메이션
281998,[트릭컬 파티마] 이펙터 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX
281997,[트릭컬 파티마] 전투 및 밸런스 기획자 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,게임기획,게임기획
281992,[트릭컬 파티마] 아이콘 작업 외주 모집,㈜에피드게임즈,13320563,경력무관,학력무관,프리랜서,채용시,원화,원화
281986,[트릭컬 파티마] 배경원화가 외주 모집,㈜에피드게임즈,13320563,경력무관,학력무관,프리랜서,채용시,원화,원화
281984,[트릭컬 파티마] 스파인2D 애니메이터 외주 모집,㈜에피드게임즈,13320563,경력무관,학력무관,프리랜서,채용시,애니메이션,애니메이션
281983,[트릭컬 파티마] 캐릭터 원화가 외주 모집,㈜에피드게임즈,13320563,경력무관,학력무관,프리랜서,채용시,원화,원화
283133,[트릭컬 리바이브] 국내 사업 PM 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,게임운영,게임운영;사업기획(국내);사업관리
283261,[트릭컬 파티마] QA담당자 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);QA·테스터
283388,[트릭컬 리바이브] 스파인2D 애니메이터 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,애니메이션,애니메이션
283389,[트릭컬 리바이브] 설정 기획자 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,게임기획,게임기획
283390,[트릭컬 리바이브] 웹 UI/UX 디자이너 추가 모집,㈜에피드게임즈,13320563,경력1년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);인터페이스 디자인
283740,[트릭컬 리바이브] 시스템 및 콘텐츠 기획자 추가 모집,㈜에피드게임즈,13320563,경력3년↑ ,학력무관,정규직,채용시,게임기획,게임기획
283807,[트릭컬 리바이브] 이펙터 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,이펙트·FX,이펙트·FX
284025,[트릭컬 리바이브] 캐릭터 원화가 추가 모집,㈜에피드게임즈,13320563,경력무관,학력무관,정규직,채용시,원화,원화
284391,[차세대 게임] 클라이언트 담당 모집,스마일게이트,23947670,경력5년↑ ,학력무관,정규직,~09/30,게임개발(클라이언트),게임개발(클라이언트)
284388,[그라비티/판교] DevHub - 프로젝트 리드 기획자 채용,그라비티,11525178,경력8년↑ ,학력무관,정규직,~09/30,게임기획,게임기획
284389,[그라비티/판교] DevHub - Unity 클라이언트 채용,그라비티,11525178,경력4년↑ ,학력무관,정규직,~09/30,게임개발(클라이언트),게임개발(클라이언트)
284390,[그라비티/판교] RMD - 이펙트 채용,그라비티,11525178,경력3년↑ ,학력무관,정규직,~09/30,이펙트·FX,이펙트·FX
281732,[브라운더스트2] 배경원화 모집,㈜겜프스엔,36329506,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);원화
281771,[브라운더스트2] 시네마틱 애니메이터 모집,㈜겜프스엔,36329506,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);애니메이션;이펙트·FX
282821,[브라운더스트2] 2D 스파인 애니메이터 모집,㈜겜프스엔,36329506,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);애니메이션
284379,[NC]글로벌 신규시장 발굴 및 사업PM,NC,11525247,경력3년↑ ,,정규직,~10/25,사업기획(해외),사업기획(해외);사업관리;리서치
